Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Main Workers - Persons,Main Workers - Males,Main Workers - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0104,`33,`619,District - Thiruvarur,Rural,`10-14,1384,863,521,239,147,92,829,496,333,6,6,0,6,6,0,2,0,2,42,24,18,0,0,0,18,12,6,0,0,0,56,54,2,30,30,0,0,0,0,0,0,0,0,0,0,2,0,2,6,6,0,18,12,6,18,0,18,112,70,42
B0104,`33,`619,District - Thiruvarur,Rural,15-19,11253,8112,3141,840,620,220,6657,4428,2229,136,124,12,12,6,6,98,60,38,514,392,122,20,20,0,964,952,12,0,0,0,556,406,150,324,312,12,126,118,8,6,6,0,12,6,6,24,24,0,24,18,6,132,54,78,76,38,38,732,528,204
B0104,`33,`619,District - Thiruvarur,Rural,20-24,28071,20580,7491,2400,1941,459,14881,9669,5212,258,244,14,66,64,2,210,156,54,1276,1124,152,66,66,0,2136,2118,18,0,0,0,1304,1058,246,1714,1652,62,424,398,26,6,0,6,234,170,64,174,102,72,186,120,66,752,124,628,160,56,104,1824,1518,306
B0104,`33,`619,District - Thiruvarur,Rural,25-29,39171,28483,10688,4304,3533,771,20919,13084,7835,402,330,72,18,18,0,356,206,150,1552,1396,156,72,70,2,2200,2180,20,18,18,0,1660,1532,128,2222,2174,48,374,350,24,0,0,0,374,352,22,368,282,86,488,344,144,1234,490,744,264,138,126,2346,1986,360
B0104,`33,`619,District - Thiruvarur,Rural,30-34,38862,28253,10609,5799,4992,807,20779,12689,8090,396,344,52,46,44,2,402,264,138,1282,1192,90,142,128,14,1688,1658,30,12,12,0,1606,1480,126,2028,1986,42,390,360,30,6,6,0,188,168,20,302,262,40,608,502,106,1120,484,636,192,108,84,1876,1574,302
B0104,`33,`619,District - Thiruvarur,Rural,35-39,43546,29160,14386,6882,5727,1155,24694,13789,10905,432,368,64,60,60,0,524,302,222,1110,1026,84,144,136,8,1400,1356,44,6,6,0,1702,1522,180,1550,1532,18,434,372,62,0,0,0,92,86,6,348,322,26,886,694,192,1526,500,1026,232,110,122,1524,1252,272
B0104,`33,`619,District - Thiruvarur,Rural,40-49,80564,55335,25229,14008,11620,2388,46360,27417,18943,714,556,158,78,78,0,1000,624,376,1634,1504,130,326,306,20,1750,1678,72,2,2,0,3270,3076,194,1986,1948,38,962,804,158,6,6,0,132,122,10,630,574,56,2076,1806,270,2976,1116,1860,336,162,174,2318,1936,382
B0104,`33,`619,District - Thiruvarur,Rural,50-59,53590,38554,15036,10713,9200,1513,30731,19318,11413,488,400,88,36,36,0,678,464,214,866,806,60,172,168,4,488,468,20,12,12,0,1924,1780,144,1062,1038,24,650,552,98,6,6,0,110,108,2,412,398,14,1734,1642,92,1484,596,888,310,176,134,1714,1386,328
B0104,`33,`619,District - Thiruvarur,Rural,60-69,28488,20903,7585,7099,6160,939,17367,11387,5980,246,210,36,0,0,0,344,232,112,416,390,26,20,20,0,208,198,10,0,0,0,778,700,78,164,164,0,306,250,56,0,0,0,30,30,0,54,54,0,140,136,4,136,84,52,198,140,58,982,748,234
B0104,`33,`619,District - Thiruvarur,Rural,70-79,8931,7149,1782,2707,2389,318,4760,3498,1262,82,66,16,8,6,2,146,106,40,142,136,6,0,0,0,40,38,2,0,0,0,330,312,18,26,24,2,98,98,0,0,0,0,0,0,0,12,12,0,42,38,4,40,36,4,94,66,28,404,324,80
